aj1-13648	u74dc-var-002	0	0	200	200
cdp-8d46-04	cdp-8d46-04-var-005	0	0	200	200
j90-3564	u7078	0	0	200	200
j90-3729	u7c82	0	0	200	200
u2ff1-cdp-88b4-u6bd4	mihail-jp_u9e7f-inner	0	0	200	200
u3042	mihail-jp_mingkana-u3042	0	0	200	200
u3044	mihail-jp_mingkana-u3044	0	0	200	200
u3046	mihail-jp_mingkana-u3046	0	0	200	200
u3048	mihail-jp_mingkana-u3048	0	0	200	200
u304a	mihail-jp_mingkana-u304a	0	0	200	200
u304b	mihail-jp_mingkana-u304b	0	0	200	200
u304d	mihail-jp_mingkana-u304d	0	0	200	200
u304f	mihail-jp_mingkana-u304f	0	0	200	200
u3051	mihail-jp_mingkana-u3051	0	0	200	200
u3053	mihail-jp_mingkana-u3053	0	0	200	200
u3055	mihail-jp_mingkana-u3055	0	0	200	200
u3057	mihail-jp_mingkana-u3057	0	0	200	200
u3059	mihail-jp_mingkana-u3059	0	0	200	200
u305b	mihail-jp_mingkana-u305b	0	0	200	200
u305d	mihail-jp_mingkana-u305d	0	0	200	200
u305f	mihail-jp_mingkana-u305f	0	0	200	200
u3061	mihail-jp_mingkana-u3061	0	0	200	200
u3064	mihail-jp_mingkana-u3064	0	0	200	200
u3066	mihail-jp_mingkana-u3066	0	0	200	200
u3068	mihail-jp_mingkana-u3068	0	0	200	200
u306a	mihail-jp_mingkana-u306a	0	0	200	200
u306b	mihail-jp_mingkana-u306b	0	0	200	200
u306c	mihail-jp_mingkana-u306c	0	0	200	200
u306d	mihail-jp_mingkana-u306d	0	0	200	200
u306e	mihail-jp_mingkana-u306e	0	0	200	200
u306f	mihail-jp_mingkana-u306f	0	0	200	200
u3072	mihail-jp_mingkana-u3072	0	0	200	200
u3075	mihail-jp_mingkana-u3075	0	0	200	200
u3078	mihail-jp_mingkana-u3078	0	0	200	200
u307b	mihail-jp_mingkana-u307b	0	0	200	200
u307e	mihail-jp_mingkana-u307e	0	0	200	200
u307f	mihail-jp_mingkana-u307f	0	0	200	200
u3080	mihail-jp_mingkana-u3080	0	0	200	200
u3081	mihail-jp_mingkana-u3081	0	0	200	200
u3082	mihail-jp_mingkana-u3082	0	0	200	200
u3084	mihail-jp_mingkana-u3084	0	0	200	200
u3086	mihail-jp_mingkana-u3086	0	0	200	200
u3088	mihail-jp_mingkana-u3088	0	0	200	200
u3089	mihail-jp_mingkana-u3089	0	0	200	200
u308a	mihail-jp_mingkana-u308a	0	0	200	200
u308b	mihail-jp_mingkana-u308b	0	0	200	200
u308c	mihail-jp_mingkana-u308c	0	0	200	200
u308d	mihail-jp_mingkana-u308d	0	0	200	200
u308f	mihail-jp_mingkana-u308f	0	0	200	200
u3090	mihail-jp_mingkana-u3090	0	0	200	200
u3091	mihail-jp_mingkana-u3091	0	0	200	200
u3092	mihail-jp_mingkana-u3092	0	0	200	200
