ufa77d	99:0:0:25:25:175:175:u30df
ufa77e	99:0:0:25:25:175:175:u30e0
ufa77f	99:0:0:25:25:175:175:u30e1
ufa780	99:0:0:25:25:175:175:u30e2
ufa781	99:0:0:25:25:175:175:u30e4
ufa782	99:0:0:25:25:175:175:u30e6
ufa783	99:0:0:25:25:175:175:u30e8
ufa784	99:0:0:25:25:175:175:u30e9
ufa785	99:0:0:25:25:175:175:u30ea
ufa786	99:0:0:25:25:175:175:u30eb
ufa787	99:0:0:25:25:175:175:u30ec
ufa788	99:0:0:25:25:175:175:u30ed
ufa789	99:0:0:25:25:175:175:u30ef
ufa78a	99:0:0:25:25:175:175:u30f0
ufa78b	99:0:0:25:25:175:175:u30f1
ufa78c	99:0:0:25:25:175:175:u30f2
ufa78d	99:0:0:25:25:175:175:u30f3
ufa78e	99:0:0:25:25:175:175:u4e00
ufa78f	99:0:0:25:25:175:175:u4e8c
ufa790	99:0:0:25:25:175:175:u4e09
ufa791	99:0:0:25:25:175:175:u56db
ufa792	99:0:0:25:25:175:175:u4e94
ufa793	99:0:0:25:25:175:175:u516d
ufa794	99:0:0:25:25:175:175:u4e03
ufa795	99:0:0:25:25:175:175:u516b
ufa796	99:0:0:25:25:175:175:u4e5d
ufa797	99:0:0:25:25:175:175:u5341
ufa798	99:0:0:25:25:175:100:u5341$99:0:0:25:100:175:175:u4e00
ufa799	99:0:0:25:25:175:100:u5341$99:0:0:25:100:175:175:u4e8c
ufa79a	99:0:0:25:25:175:100:u5341$99:0:0:25:100:175:175:u4e09
ufa79b	99:0:0:25:25:175:100:u5341$99:0:0:25:100:175:175:u56db
ufa79c	99:0:0:25:25:175:100:u5341$99:0:0:25:100:175:175:u4e94
ufa79d	99:0:0:25:25:175:100:u5341$99:0:0:25:100:175:175:u516d
ufa79e	99:0:0:25:25:175:100:u5341$99:0:0:25:100:175:175:u4e03
ufa79f	99:0:0:25:25:175:100:u5341$99:0:0:25:100:175:175:u516b
ufa7a0	99:0:0:25:25:175:100:u5341$99:0:0:25:100:175:175:u4e5d
ufa7a1	99:0:0:25:25:175:100:u4e8c$99:0:0:25:100:175:175:u5341
ufa7a2	99:0:0:25:25:175:175:u55b6
ufa7a3	99:0:0:25:25:175:175:u5408
ufa7a4	99:0:0:25:25:175:175:u6ce8
ufa7a5	99:0:0:25:25:175:175:u554f
ufa7a6	99:0:0:25:25:175:175:u7b54
ufa7a7	99:0:0:25:25:175:175:u4f8b
ufa7bc	99:0:0:0:0:100:200:u3064
ufa7bd	99:0:0:0:0:100:200:u624d
ufa7be	99:0:0:0:100:200:200:u3007
ufa7bf	99:0:0:0:100:200:200:u4e00
ufa7c0	99:0:0:0:100:200:200:u4e8c
ufa7c1	99:0:0:0:100:200:200:u4e09
ufa7c2	99:0:0:0:100:200:200:u56db
ufa7c3	99:0:0:0:100:200:200:u4e94
ufa7c4	99:0:0:0:100:200:200:u516d
ufa7c5	99:0:0:0:100:200:200:u4e03
ufa7c6	99:0:0:0:100:200:200:u516b
ufa7c7	99:0:0:0:100:200:200:u4e5d
ufa7c8	99:0:0:0:100:200:200:u5341
ufa7c9	99:0:0:0:0:200:100:u3007
ufa7ca	99:0:0:0:0:200:100:u4e00
ufa7cb	99:0:0:0:0:200:100:u4e8c
ufa7cc	99:0:0:0:0:200:100:u4e09
ufa7cd	99:0:0:0:0:200:100:u56db
ufa7ce	99:0:0:0:0:200:100:u4e94
ufa7cf	99:0:0:0:0:200:100:u516d
ufa7d0	99:0:0:0:0:200:100:u4e03
ufa7d1	99:0:0:0:0:200:100:u516b
ufa7d2	99:0:0:0:0:200:100:u4e5d
ufa7d3	99:0:0:0:0:200:100:u5341
ufa7d4	99:0:0:0:0:200:100:u3007
ufa7d5	99:0:0:0:0:200:100:u4e00
ufa7d6	99:0:0:0:0:200:100:u4e8c
ufa7d7	99:0:0:0:0:200:100:u4e09
ufa7d8	99:0:0:0:0:200:100:u56db
ufa7d9	99:0:0:0:0:200:100:u4e94
ufa7da	99:0:0:0:0:200:100:u516d
ufa7db	99:0:0:0:0:200:100:u4e03
ufa7dc	99:0:0:0:0:200:100:u516b
ufa7dd	99:0:0:0:0:200:100:u4e5d
ufa7de	99:0:0:0:0:200:100:u3064
ufa7df	99:0:0:0:0:200:100:u624d
ufa7e0	99:0:0:50:100:200:200:u4e00
ufa7e1	99:0:0:50:100:200:200:u4e8c
ufa7e2	99:0:0:50:100:200:200:u4e09
ufa7e3	99:0:0:50:100:200:200:u56db
ufa7e4	99:0:0:50:100:200:200:u4e94
ufa7e5	99:0:0:50:100:200:200:u516d
ufa7e6	99:0:0:50:100:200:200:u4e03
ufa7e7	99:0:0:50:100:200:200:u516b
ufa7e8	99:0:0:50:100:200:200:u4e5d
ufa7e9	99:0:0:50:100:200:200:u5341
ufa7ea	99:0:0:0:0:150:100:u3007
ufa7eb	99:0:0:0:0:150:100:u4e00
ufa7ec	99:0:0:0:0:150:100:u4e8c
ufa7ed	99:0:0:0:0:150:100:u4e09
ufa7ee	99:0:0:0:0:150:100:u56db
ufa7ef	99:0:0:0:0:150:100:u4e94
ufa7f0	99:0:0:0:0:150:100:u516d
ufa7f1	99:0:0:0:0:150:100:u4e03
ufa7f2	99:0:0:0:0:150:100:u516b
ufa7f3	99:0:0:0:0:150:100:u4e5d
ufa7f4	99:0:0:0:0:150:100:u5341
ufa7f5	99:0:0:0:0:150:100:u30b3
ufa7f6	99:0:0:0:0:150:100:u3064
ufa7f7	99:0:0:0:0:150:100:u30c4
ufa7f8	99:0:0:0:0:150:100:u624d
ufa87d	99:0:0:25:25:175:175:u3042
ufa87e	99:0:0:25:25:175:175:u3044
ufa87f	99:0:0:25:25:175:175:u3046
ufa880	99:0:0:25:25:175:175:u3048
ufa881	99:0:0:25:25:175:175:u304a
ufa882	99:0:0:25:25:175:175:u304b
ufa883	99:0:0:25:25:175:175:u304d
ufa884	99:0:0:25:25:175:175:u304f
ufa885	99:0:0:25:25:175:175:u3051
ufa886	99:0:0:25:25:175:175:u3053
ufa887	99:0:0:25:25:175:175:u3055
ufa888	99:0:0:25:25:175:175:u3057
ufa889	99:0:0:25:25:175:175:u3059
ufa88a	99:0:0:25:25:175:175:u305b
ufa88b	99:0:0:25:25:175:175:u305d
ufa88c	99:0:0:25:25:175:175:u305f
ufa88d	99:0:0:25:25:175:175:u3061
ufa88e	99:0:0:25:25:175:175:u3064
ufa88f	99:0:0:25:25:175:175:u3066
ufa890	99:0:0:25:25:175:175:u3068
ufa891	99:0:0:25:25:175:175:u306a
