ufaaf3	99:0:0:25:25:175:175:u30ca
ufaaf4	99:0:0:25:25:175:175:u30cb
ufaaf5	99:0:0:25:25:175:175:u30cc
ufaaf6	99:0:0:25:25:175:175:u30cd
ufaaf7	99:0:0:25:25:175:175:u30ce
ufaaf8	99:0:0:25:25:175:175:u30cf
ufaaf9	99:0:0:25:25:175:175:u30d2
ufaafa	99:0:0:25:25:175:175:u30d5
ufaafb	99:0:0:25:25:175:175:u30d8
ufaafc	99:0:0:25:25:175:175:u30db
ufaafd	99:0:0:25:25:175:175:u30de
ufaafe	99:0:0:25:25:175:175:u30df
ufaaff	99:0:0:25:25:175:175:u30e0
ufab00	99:0:0:25:25:175:175:u30e1
ufab01	99:0:0:25:25:175:175:u30e2
ufab02	99:0:0:25:25:175:175:u30e4
ufab03	99:0:0:25:25:175:175:u30e6
ufab04	99:0:0:25:25:175:175:u30e8
ufab05	99:0:0:25:25:175:175:u30e9
ufab06	99:0:0:25:25:175:175:u30ea
ufab07	99:0:0:25:25:175:175:u30eb
ufab08	99:0:0:25:25:175:175:u30ec
ufab09	99:0:0:25:25:175:175:u30ed
ufab0a	99:0:0:25:25:175:175:u30ef
ufab0b	99:0:0:25:25:175:175:u30f0
ufab0c	99:0:0:25:25:175:175:u30f1
ufab0d	99:0:0:25:25:175:175:u30f2
ufab0e	99:0:0:25:25:175:175:u30f3
ufab0f	99:0:0:25:25:175:175:u65e5
ufab10	99:0:0:25:25:175:175:u6708
ufab11	99:0:0:25:25:175:175:u706b
ufab12	99:0:0:25:25:175:175:u6c34
ufab13	99:0:0:25:25:175:175:u6728
ufab14	99:0:0:25:25:175:175:u91d1
ufab15	99:0:0:25:25:175:175:u571f
ufab16	99:0:0:25:25:175:175:u8ca0
ufab17	99:0:0:25:25:175:175:u52dd
ufab18	99:0:0:25:25:175:175:u554f
ufab19	99:0:0:25:25:175:175:u7b54
ufab1a	99:0:0:25:25:175:175:u4f8b
ufabc0	99:0:0:25:25:175:175:u3042
ufabc1	99:0:0:25:25:175:175:u3044
ufabc2	99:0:0:25:25:175:175:u3046
ufabc3	99:0:0:25:25:175:175:u3048
ufabc4	99:0:0:25:25:175:175:u304a
ufabc5	99:0:0:25:25:175:175:u304b
ufabc6	99:0:0:25:25:175:175:u304d
ufabc7	99:0:0:25:25:175:175:u304f
ufabc8	99:0:0:25:25:175:175:u3051
ufabc9	99:0:0:25:25:175:175:u3053
ufabca	99:0:0:25:25:175:175:u3055
ufabcb	99:0:0:25:25:175:175:u3057
ufabcc	99:0:0:25:25:175:175:u3059
ufabcd	99:0:0:25:25:175:175:u305b
ufabce	99:0:0:25:25:175:175:u305d
ufabcf	99:0:0:25:25:175:175:u305f
ufabd0	99:0:0:25:25:175:175:u3061
ufabd1	99:0:0:25:25:175:175:u3064
ufabd2	99:0:0:25:25:175:175:u3066
ufabd3	99:0:0:25:25:175:175:u3068
ufabd4	99:0:0:25:25:175:175:u306a
ufabd5	99:0:0:25:25:175:175:u306b
ufabd6	99:0:0:25:25:175:175:u306c
ufabd7	99:0:0:25:25:175:175:u306d
ufabd8	99:0:0:25:25:175:175:u306e
ufabd9	99:0:0:25:25:175:175:u306f
ufabda	99:0:0:25:25:175:175:u3072
ufabdb	99:0:0:25:25:175:175:u3075
ufabdc	99:0:0:25:25:175:175:u3078
ufabdd	99:0:0:25:25:175:175:u307b
ufabde	99:0:0:25:25:175:175:u307e
ufabdf	99:0:0:25:25:175:175:u307f
ufabe0	99:0:0:25:25:175:175:u3080
ufabe1	99:0:0:25:25:175:175:u3081
ufabe2	99:0:0:25:25:175:175:u3082
ufabe3	99:0:0:25:25:175:175:u3084
ufabe4	99:0:0:25:25:175:175:u3086
ufabe5	99:0:0:25:25:175:175:u3088
ufabe6	99:0:0:25:25:175:175:u3089
ufabe7	99:0:0:25:25:175:175:u308a
ufabe8	99:0:0:25:25:175:175:u308b
ufabe9	99:0:0:25:25:175:175:u308c
ufabea	99:0:0:25:25:175:175:u308d
ufabeb	99:0:0:25:25:175:175:u308f
ufabec	99:0:0:25:25:175:175:u3090
ufabed	99:0:0:25:25:175:175:u3091
ufabee	99:0:0:25:25:175:175:u3092
ufabef	99:0:0:25:25:175:175:u3093
ufabf0	99:0:0:25:25:175:175:u30a2
ufabf1	99:0:0:25:25:175:175:u30a4
ufabf2	99:0:0:25:25:175:175:u30a6
ufabf3	99:0:0:25:25:175:175:u30a8
ufabf4	99:0:0:25:25:175:175:u30aa
ufabf5	99:0:0:25:25:175:175:u30ab
ufabf6	99:0:0:25:25:175:175:u30ad
ufabf7	99:0:0:25:25:175:175:u30af
ufabf8	99:0:0:25:25:175:175:u30b1
ufabf9	99:0:0:25:25:175:175:u30b3
ufabfa	99:0:0:25:25:175:175:u30b5
ufabfb	99:0:0:25:25:175:175:u30b7
ufabfc	99:0:0:25:25:175:175:u30b9
ufabfd	99:0:0:25:25:175:175:u30bb
ufabfe	99:0:0:25:25:175:175:u30bd
ufabff	99:0:0:25:25:175:175:u30bf
ufac00	99:0:0:25:25:175:175:u30c1
ufac01	99:0:0:25:25:175:175:u30c4
ufac02	99:0:0:25:25:175:175:u30c6
ufac03	99:0:0:25:25:175:175:u30c8
ufac04	99:0:0:25:25:175:175:u30ca
ufac05	99:0:0:25:25:175:175:u30cb
ufac06	99:0:0:25:25:175:175:u30cc
ufac07	99:0:0:25:25:175:175:u30cd
ufac08	99:0:0:25:25:175:175:u30ce
ufac09	99:0:0:25:25:175:175:u30cf
ufac0a	99:0:0:25:25:175:175:u30d2
ufac0b	99:0:0:25:25:175:175:u30d5
ufac0c	99:0:0:25:25:175:175:u30d8
ufac0d	99:0:0:25:25:175:175:u30db
ufac0e	99:0:0:25:25:175:175:u30de
ufac0f	99:0:0:25:25:175:175:u30df
ufac10	99:0:0:25:25:175:175:u30e0
ufac11	99:0:0:25:25:175:175:u30e1
ufac12	99:0:0:25:25:175:175:u30e2
ufac13	99:0:0:25:25:175:175:u30e4
ufac14	99:0:0:25:25:175:175:u30e6
ufac15	99:0:0:25:25:175:175:u30e8
ufac16	99:0:0:25:25:175:175:u30e9
ufac17	99:0:0:25:25:175:175:u30ea
ufac18	99:0:0:25:25:175:175:u30eb
ufac19	99:0:0:25:25:175:175:u30ec
ufac1a	99:0:0:25:25:175:175:u30ed
ufac1b	99:0:0:25:25:175:175:u30ef
ufac1c	99:0:0:25:25:175:175:u30f0
ufac1d	99:0:0:25:25:175:175:u30f1
ufac1e	99:0:0:25:25:175:175:u30f2
ufac1f	99:0:0:25:25:175:175:u30f3
ufac20	99:0:0:25:25:175:175:u65e5
ufac21	99:0:0:25:25:175:175:u6708
ufac22	99:0:0:25:25:175:175:u706b
ufac23	99:0:0:25:25:175:175:u6c34
ufac24	99:0:0:25:25:175:175:u6728
ufac25	99:0:0:25:25:175:175:u91d1
ufac26	99:0:0:25:25:175:175:u571f
ufac27	99:0:0:25:25:175:175:u554f
ufac28	99:0:0:25:25:175:175:u7b54
ufac29	99:0:0:25:25:175:175:u4f8b
ufacce	99:0:0:25:25:175:175:u3042
ufaccf	99:0:0:25:25:175:175:u3044
ufacd0	99:0:0:25:25:175:175:u3046
ufacd1	99:0:0:25:25:175:175:u3048
ufacd2	99:0:0:25:25:175:175:u304a
ufacd3	99:0:0:25:25:175:175:u304b
ufacd4	99:0:0:25:25:175:175:u304d
ufacd5	99:0:0:25:25:175:175:u304f
ufacd6	99:0:0:25:25:175:175:u3051
ufacd7	99:0:0:25:25:175:175:u3053
ufacd8	99:0:0:25:25:175:175:u3055
ufacd9	99:0:0:25:25:175:175:u3057
ufacda	99:0:0:25:25:175:175:u3059
ufacdb	99:0:0:25:25:175:175:u305b
ufacdc	99:0:0:25:25:175:175:u305d
ufacdd	99:0:0:25:25:175:175:u305f
ufacde	99:0:0:25:25:175:175:u3061
ufacdf	99:0:0:25:25:175:175:u3064
uface0	99:0:0:25:25:175:175:u3066
uface1	99:0:0:25:25:175:175:u3068
uface2	99:0:0:25:25:175:175:u306a
uface3	99:0:0:25:25:175:175:u306b
uface4	99:0:0:25:25:175:175:u306c
uface5	99:0:0:25:25:175:175:u306d
uface6	99:0:0:25:25:175:175:u306e
uface7	99:0:0:25:25:175:175:u306f
uface8	99:0:0:25:25:175:175:u3072
uface9	99:0:0:25:25:175:175:u3075
ufacea	99:0:0:25:25:175:175:u3078
ufaceb	99:0:0:25:25:175:175:u307b
ufacec	99:0:0:25:25:175:175:u307e
ufaced	99:0:0:25:25:175:175:u307f
ufacee	99:0:0:25:25:175:175:u3080
ufacef	99:0:0:25:25:175:175:u3081
ufacf0	99:0:0:25:25:175:175:u3082
ufacf1	99:0:0:25:25:175:175:u3084
ufacf2	99:0:0:25:25:175:175:u3086
ufacf3	99:0:0:25:25:175:175:u3088
ufacf4	99:0:0:25:25:175:175:u3089
ufacf5	99:0:0:25:25:175:175:u308a
ufacf6	99:0:0:25:25:175:175:u308b
ufacf7	99:0:0:25:25:175:175:u308c
ufacf8	99:0:0:25:25:175:175:u308d
ufacf9	99:0:0:25:25:175:175:u308f
ufacfa	99:0:0:25:25:175:175:u3090
ufacfb	99:0:0:25:25:175:175:u3091
ufacfc	99:0:0:25:25:175:175:u3092
ufacfd	99:0:0:25:25:175:175:u3093
ufacfe	99:0:0:25:25:175:175:u30a2
ufacff	99:0:0:25:25:175:175:u30a4
ufad00	99:0:0:25:25:175:175:u30a6
ufad01	99:0:0:25:25:175:175:u30a8
ufad02	99:0:0:25:25:175:175:u30aa
ufad03	99:0:0:25:25:175:175:u30ab
ufad04	99:0:0:25:25:175:175:u30ad
ufad05	99:0:0:25:25:175:175:u30af
ufad06	99:0:0:25:25:175:175:u30b1
ufad07	99:0:0:25:25:175:175:u30b3
ufad08	99:0:0:25:25:175:175:u30b5
ufad09	99:0:0:25:25:175:175:u30b7
ufad0a	99:0:0:25:25:175:175:u30b9
ufad0b	99:0:0:25:25:175:175:u30bb
ufad0c	99:0:0:25:25:175:175:u30bd
ufad0d	99:0:0:25:25:175:175:u30bf
ufad0e	99:0:0:25:25:175:175:u30c1
ufad0f	99:0:0:25:25:175:175:u30c4
ufad10	99:0:0:25:25:175:175:u30c6
ufad11	99:0:0:25:25:175:175:u30c8
ufad12	99:0:0:25:25:175:175:u30ca
ufad13	99:0:0:25:25:175:175:u30cb
ufad14	99:0:0:25:25:175:175:u30cc
ufad15	99:0:0:25:25:175:175:u30cd
ufad16	99:0:0:25:25:175:175:u30ce
ufad17	99:0:0:25:25:175:175:u30cf
ufad18	99:0:0:25:25:175:175:u30d2
ufad19	99:0:0:25:25:175:175:u30d5
ufad1a	99:0:0:25:25:175:175:u30d8
ufad1b	99:0:0:25:25:175:175:u30db
ufad1c	99:0:0:25:25:175:175:u30de
ufad1d	99:0:0:25:25:175:175:u30df
ufad1e	99:0:0:25:25:175:175:u30e0
ufad1f	99:0:0:25:25:175:175:u30e1
ufad20	99:0:0:25:25:175:175:u30e2
ufad21	99:0:0:25:25:175:175:u30e4
ufad22	99:0:0:25:25:175:175:u30e6
ufad23	99:0:0:25:25:175:175:u30e8
ufad24	99:0:0:25:25:175:175:u30e9
ufad25	99:0:0:25:25:175:175:u30ea
ufad26	99:0:0:25:25:175:175:u30eb
ufad27	99:0:0:25:25:175:175:u30ec
ufad28	99:0:0:25:25:175:175:u30ed
ufad29	99:0:0:25:25:175:175:u30ef
ufad2a	99:0:0:25:25:175:175:u30f0
ufad2b	99:0:0:25:25:175:175:u30f1
ufad2c	99:0:0:25:25:175:175:u30f2
ufad2d	99:0:0:25:25:175:175:u30f3
ufad2e	99:0:0:25:25:175:175:u65e5
ufad2f	99:0:0:25:25:175:175:u6708
ufad30	99:0:0:25:25:175:175:u706b
ufad31	99:0:0:25:25:175:175:u6c34
ufad32	99:0:0:25:25:175:175:u6728
ufad33	99:0:0:25:25:175:175:u91d1
ufad34	99:0:0:25:25:175:175:u571f
ufad35	99:0:0:25:25:175:175:u554f
ufad36	99:0:0:25:25:175:175:u7b54
ufad37	99:0:0:25:25:175:175:u4f8b
ufaddb	99:0:0:25:25:175:175:u3042
ufaddc	99:0:0:25:25:175:175:u3044
ufaddd	99:0:0:25:25:175:175:u3046
ufadde	99:0:0:25:25:175:175:u3048
ufaddf	99:0:0:25:25:175:175:u304a
ufade0	99:0:0:25:25:175:175:u304b
ufade1	99:0:0:25:25:175:175:u304d
ufade2	99:0:0:25:25:175:175:u304f
ufade3	99:0:0:25:25:175:175:u3051
ufade4	99:0:0:25:25:175:175:u3053
ufade5	99:0:0:25:25:175:175:u3055
ufade6	99:0:0:25:25:175:175:u3057
ufade7	99:0:0:25:25:175:175:u3059
ufade8	99:0:0:25:25:175:175:u305b
ufade9	99:0:0:25:25:175:175:u305d
ufadea	99:0:0:25:25:175:175:u305f
ufadeb	99:0:0:25:25:175:175:u3061
ufadec	99:0:0:25:25:175:175:u3064
ufaded	99:0:0:25:25:175:175:u3066
ufadee	99:0:0:25:25:175:175:u3068
ufadef	99:0:0:25:25:175:175:u306a
ufadf0	99:0:0:25:25:175:175:u306b
ufadf1	99:0:0:25:25:175:175:u306c
ufadf2	99:0:0:25:25:175:175:u306d
ufadf3	99:0:0:25:25:175:175:u306e
ufadf4	99:0:0:25:25:175:175:u306f
ufadf5	99:0:0:25:25:175:175:u3072
ufadf6	99:0:0:25:25:175:175:u3075
ufadf7	99:0:0:25:25:175:175:u3078
ufadf8	99:0:0:25:25:175:175:u307b
ufadf9	99:0:0:25:25:175:175:u307e
ufadfa	99:0:0:25:25:175:175:u307f
ufadfb	99:0:0:25:25:175:175:u3080
ufadfc	99:0:0:25:25:175:175:u3081
ufadfd	99:0:0:25:25:175:175:u3082
ufadfe	99:0:0:25:25:175:175:u3084
ufadff	99:0:0:25:25:175:175:u3086
ufae00	99:0:0:25:25:175:175:u3088
ufae01	99:0:0:25:25:175:175:u3089
ufae02	99:0:0:25:25:175:175:u308a
ufae03	99:0:0:25:25:175:175:u308b
ufae04	99:0:0:25:25:175:175:u308c
ufae05	99:0:0:25:25:175:175:u308d
ufae06	99:0:0:25:25:175:175:u308f
ufae07	99:0:0:25:25:175:175:u3090
ufae08	99:0:0:25:25:175:175:u3091
ufae09	99:0:0:25:25:175:175:u3092
ufae0a	99:0:0:25:25:175:175:u3093
ufae0b	99:0:0:25:25:175:175:u30a2
ufae0c	99:0:0:25:25:175:175:u30a4
ufae0d	99:0:0:25:25:175:175:u30a6
ufae0e	99:0:0:25:25:175:175:u30a8
ufae0f	99:0:0:25:25:175:175:u30aa
ufae10	99:0:0:25:25:175:175:u30ab
ufae11	99:0:0:25:25:175:175:u30ad
ufae12	99:0:0:25:25:175:175:u30af
ufae13	99:0:0:25:25:175:175:u30b1
ufae14	99:0:0:25:25:175:175:u30b3
ufae15	99:0:0:25:25:175:175:u30b5
ufae16	99:0:0:25:25:175:175:u30b7
ufae17	99:0:0:25:25:175:175:u30b9
ufae18	99:0:0:25:25:175:175:u30bb
ufae19	99:0:0:25:25:175:175:u30bd
ufae1a	99:0:0:25:25:175:175:u30bf
ufae1b	99:0:0:25:25:175:175:u30c1
ufae1c	99:0:0:25:25:175:175:u30c4
ufae1d	99:0:0:25:25:175:175:u30c6
ufae1e	99:0:0:25:25:175:175:u30c8
ufae1f	99:0:0:25:25:175:175:u30ca
ufae20	99:0:0:25:25:175:175:u30cb
ufae21	99:0:0:25:25:175:175:u30cc
ufae22	99:0:0:25:25:175:175:u30cd
ufae23	99:0:0:25:25:175:175:u30ce
ufae24	99:0:0:25:25:175:175:u30cf
ufae25	99:0:0:25:25:175:175:u30d2
ufae26	99:0:0:25:25:175:175:u30d5
ufae27	99:0:0:25:25:175:175:u30d8
ufae28	99:0:0:25:25:175:175:u30db
ufae29	99:0:0:25:25:175:175:u30de
ufae2a	99:0:0:25:25:175:175:u30df
ufae2b	99:0:0:25:25:175:175:u30e0
ufae2c	99:0:0:25:25:175:175:u30e1
ufae2d	99:0:0:25:25:175:175:u30e2
ufae2e	99:0:0:25:25:175:175:u30e4
ufae2f	99:0:0:25:25:175:175:u30e6
ufae30	99:0:0:25:25:175:175:u30e8
ufae31	99:0:0:25:25:175:175:u30e9
ufae32	99:0:0:25:25:175:175:u30ea
ufae33	99:0:0:25:25:175:175:u30eb
ufae34	99:0:0:25:25:175:175:u30ec
ufae35	99:0:0:25:25:175:175:u30ed
ufae36	99:0:0:25:25:175:175:u30ef
ufae37	99:0:0:25:25:175:175:u30f0
ufae38	99:0:0:25:25:175:175:u30f1
ufae39	99:0:0:25:25:175:175:u30f2
ufae3a	99:0:0:25:25:175:175:u30f3
ufae3b	99:0:0:25:25:175:175:u65e5
ufae3c	99:0:0:25:25:175:175:u6708
ufae3d	99:0:0:25:25:175:175:u706b
ufae3e	99:0:0:25:25:175:175:u6c34
ufae3f	99:0:0:25:25:175:175:u6728
ufae40	99:0:0:25:25:175:175:u91d1
ufae41	99:0:0:25:25:175:175:u571f
ufae42	99:0:0:25:25:175:175:u554f
ufae43	99:0:0:25:25:175:175:u7b54
ufae44	99:0:0:25:25:175:175:u4f8b
ufb15f	99:0:0:0:0:200:200:ufe45
ufb160	99:0:0:0:0:200:200:ufe46
ufb161	99:0:0:8:8:192:192:u25cf
ufb163	99:0:0:8:8:192:192:u203b
ufb164	99:0:0:8:8:192:192:u25cb
ufb165	99:0:0:8:8:192:192:u25ce
ufb166	99:0:0:8:8:192:192:u25c9
ufb167	99:0:0:8:8:192:192:u25b3
ufb168	99:0:0:8:8:192:192:u25b2
ufb169	99:0:0:8:8:192:192:u309d
ufb16a	99:0:0:8:8:192:192:u309e
ufb16b	99:0:0:8:8:192:192:u30fd
ufb16c	99:0:0:8:8:192:192:u30fe
ufb16f	99:0:0:8:8:192:192:u3014
ufb170	99:0:0:8:8:192:192:u3015
ufb171	99:0:0:8:8:192:192:uff08-vert
ufb172	99:0:0:8:8:192:192:uff09-vert
ufb173	99:0:0:8:8:192:192:u3014-vert
ufb174	99:0:0:8:8:192:192:u3015-vert
ufb17f	99:0:0:8:8:192:192:u3041
ufb180	99:0:0:8:8:192:192:u3042
ufb181	99:0:0:8:8:192:192:u3043
ufb182	99:0:0:8:8:192:192:u3044
ufb183	99:0:0:8:8:192:192:u3045
ufb184	99:0:0:8:8:192:192:u3046
ufb185	99:0:0:8:8:192:192:u3047
ufb186	99:0:0:8:8:192:192:u3048
ufb187	99:0:0:8:8:192:192:u3049
ufb188	99:0:0:8:8:192:192:u304a
ufb189	99:0:0:8:8:192:192:u304b
ufb18a	99:0:0:8:8:192:192:u3095
ufb18b	99:0:0:8:8:192:192:u304c
ufb18c	99:0:0:8:8:192:192:u304d
ufb18d	99:0:0:8:8:192:192:u304e
ufb18e	99:0:0:8:8:192:192:u304f
ufb18f	99:0:0:8:8:192:192:u3050
ufb190	99:0:0:8:8:192:192:u3051
ufb191	99:0:0:8:8:192:192:u3096
ufb192	99:0:0:8:8:192:192:u3052
ufb193	99:0:0:8:8:192:192:u3053
ufb194	99:0:0:8:8:192:192:u3054
ufb195	99:0:0:8:8:192:192:u3055
ufb196	99:0:0:8:8:192:192:u3056
ufb197	99:0:0:8:8:192:192:u3057
ufb198	99:0:0:8:8:192:192:u3058
ufb199	99:0:0:8:8:192:192:u3059
ufb19a	99:0:0:8:8:192:192:u305a
ufb19b	99:0:0:8:8:192:192:u305b
ufb19c	99:0:0:8:8:192:192:u305c
ufb19d	99:0:0:8:8:192:192:u305d
ufb19e	99:0:0:8:8:192:192:u305e
ufb19f	99:0:0:8:8:192:192:u305f
ufb1a0	99:0:0:8:8:192:192:u3060
ufb1a1	99:0:0:8:8:192:192:u3061
ufb1a2	99:0:0:8:8:192:192:u3062
ufb1a3	99:0:0:8:8:192:192:u3063
ufb1a4	99:0:0:8:8:192:192:u3064
ufb1a5	99:0:0:8:8:192:192:u3065
ufb1a6	99:0:0:8:8:192:192:u3066
ufb1a7	99:0:0:8:8:192:192:u3067
ufb1a8	99:0:0:8:8:192:192:u3068
ufb1a9	99:0:0:8:8:192:192:u3069
ufb1aa	99:0:0:8:8:192:192:u306a
ufb1ab	99:0:0:8:8:192:192:u306b
ufb1ac	99:0:0:8:8:192:192:u306c
ufb1ad	99:0:0:8:8:192:192:u306d
ufb1ae	99:0:0:8:8:192:192:u306e
ufb1af	99:0:0:8:8:192:192:u306f
ufb1b0	99:0:0:8:8:192:192:u3070
ufb1b1	99:0:0:8:8:192:192:u3071
ufb1b2	99:0:0:8:8:192:192:u3072
ufb1b3	99:0:0:8:8:192:192:u3073
ufb1b4	99:0:0:8:8:192:192:u3074
ufb1b5	99:0:0:8:8:192:192:u3075
ufb1b6	99:0:0:8:8:192:192:u3076
ufb1b7	99:0:0:8:8:192:192:u3077
ufb1b8	99:0:0:8:8:192:192:u3078
ufb1b9	99:0:0:8:8:192:192:u3079
ufb1ba	99:0:0:8:8:192:192:u307a
ufb1bb	99:0:0:8:8:192:192:u307b
ufb1bc	99:0:0:8:8:192:192:u307c
ufb1bd	99:0:0:8:8:192:192:u307d
ufb1be	99:0:0:8:8:192:192:u307e
ufb1bf	99:0:0:8:8:192:192:u307f
ufb1c0	99:0:0:8:8:192:192:u3080
ufb1c1	99:0:0:8:8:192:192:u3081
ufb1c2	99:0:0:8:8:192:192:u3082
ufb1c3	99:0:0:8:8:192:192:u3083
ufb1c4	99:0:0:8:8:192:192:u3084
ufb1c5	99:0:0:8:8:192:192:u3085
ufb1c6	99:0:0:8:8:192:192:u3086
ufb1c7	99:0:0:8:8:192:192:u3087
ufb1c8	99:0:0:8:8:192:192:u3088
ufb1c9	99:0:0:8:8:192:192:u3089
ufb1ca	99:0:0:8:8:192:192:u308a
ufb1cb	99:0:0:8:8:192:192:u308b
ufb1cc	99:0:0:8:8:192:192:u308c
ufb1cd	99:0:0:8:8:192:192:u308d
ufb1ce	99:0:0:8:8:192:192:u308e
ufb1cf	99:0:0:8:8:192:192:u308f
ufb1d0	99:0:0:8:8:192:192:u3090
ufb1d1	99:0:0:8:8:192:192:u3091
ufb1d2	99:0:0:8:8:192:192:u3092
ufb1d3	99:0:0:8:8:192:192:u3093
ufb1d4	99:0:0:8:8:192:192:u3094
ufb1d5	99:0:0:8:8:192:192:u3041-vert
ufb1d6	99:0:0:8:8:192:192:u3043-vert
ufb1d7	99:0:0:8:8:192:192:u3045-vert
ufb1d8	99:0:0:8:8:192:192:u3047-vert
ufb1d9	99:0:0:8:8:192:192:u3049-vert
ufb1da	99:0:0:8:8:192:192:u3095-vert
ufb1db	99:0:0:8:8:192:192:u3096-vert
ufb1dc	99:0:0:8:8:192:192:u3063-vert
ufb1dd	99:0:0:8:8:192:192:u3083-vert
ufb1de	99:0:0:8:8:192:192:u3085-vert
ufb1df	99:0:0:8:8:192:192:u3087-vert
ufb1e0	99:0:0:8:8:192:192:u308e-vert
ufb1e1	99:0:0:8:8:192:192:u30a1
ufb1e2	99:0:0:8:8:192:192:u30a2
ufb1e3	99:0:0:8:8:192:192:u30a3
ufb1e4	99:0:0:8:8:192:192:u30a4
ufb1e5	99:0:0:8:8:192:192:u30a5
ufb1e6	99:0:0:8:8:192:192:u30a6
ufb1e7	99:0:0:8:8:192:192:u30a7
ufb1e8	99:0:0:8:8:192:192:u30a8
ufb1e9	99:0:0:8:8:192:192:u30a9
ufb1ea	99:0:0:8:8:192:192:u30aa
ufb1eb	99:0:0:8:8:192:192:u30ab
ufb1ec	99:0:0:8:8:192:192:u30f5
ufb1ed	99:0:0:8:8:192:192:u30ac
ufb1ee	99:0:0:8:8:192:192:u30ad
ufb1ef	99:0:0:8:8:192:192:u30ae
ufb1f0	99:0:0:8:8:192:192:u30af
ufb1f1	99:0:0:8:8:192:192:u30b0
ufb1f2	99:0:0:8:8:192:192:u30b1
ufb1f3	99:0:0:8:8:192:192:u30f6
ufb1f4	99:0:0:8:8:192:192:u30b2
ufb1f5	99:0:0:8:8:192:192:u30b3
ufb1f6	99:0:0:8:8:192:192:u30b4
ufb1f7	99:0:0:8:8:192:192:u30b5
ufb1f8	99:0:0:8:8:192:192:u30b6
ufb1f9	99:0:0:8:8:192:192:u30b7
ufb1fa	99:0:0:8:8:192:192:u30b8
ufb1fb	99:0:0:8:8:192:192:u30b9
ufb1fc	99:0:0:8:8:192:192:u30ba
ufb1fd	99:0:0:8:8:192:192:u30bb
ufb1fe	99:0:0:8:8:192:192:u30bc
ufb1ff	99:0:0:8:8:192:192:u30bd
ufb200	99:0:0:8:8:192:192:u30be
ufb201	99:0:0:8:8:192:192:u30bf
ufb202	99:0:0:8:8:192:192:u30c0
ufb203	99:0:0:8:8:192:192:u30c1
ufb204	99:0:0:8:8:192:192:u30c2
ufb205	99:0:0:8:8:192:192:u30c3
ufb206	99:0:0:8:8:192:192:u30c4
ufb207	99:0:0:8:8:192:192:u30c5
ufb208	99:0:0:8:8:192:192:u30c6
ufb209	99:0:0:8:8:192:192:u30c7
ufb20a	99:0:0:8:8:192:192:u30c8
ufb20b	99:0:0:8:8:192:192:u30c9
ufb20c	99:0:0:8:8:192:192:u30ca
ufb20d	99:0:0:8:8:192:192:u30cb
ufb20e	99:0:0:8:8:192:192:u30cc
ufb20f	99:0:0:8:8:192:192:u30cd
ufb210	99:0:0:8:8:192:192:u30ce
ufb211	99:0:0:8:8:192:192:u30cf
ufb212	99:0:0:8:8:192:192:u30d0
ufb213	99:0:0:8:8:192:192:u30d1
ufb214	99:0:0:8:8:192:192:u30d2
ufb215	99:0:0:8:8:192:192:u30d3
ufb216	99:0:0:8:8:192:192:u30d4
ufb217	99:0:0:8:8:192:192:u30d5
ufb218	99:0:0:8:8:192:192:u30d6
ufb219	99:0:0:8:8:192:192:u30d7
ufb21a	99:0:0:8:8:192:192:u30d8
ufb21b	99:0:0:8:8:192:192:u30d9
ufb21c	99:0:0:8:8:192:192:u30da
ufb21d	99:0:0:8:8:192:192:u30db
ufb21e	99:0:0:8:8:192:192:u30dc
ufb21f	99:0:0:8:8:192:192:u30dd
ufb220	99:0:0:8:8:192:192:u30de
ufb221	99:0:0:8:8:192:192:u30df
ufb222	99:0:0:8:8:192:192:u30e0
ufb223	99:0:0:8:8:192:192:u30e1
ufb224	99:0:0:8:8:192:192:u30e2
ufb225	99:0:0:8:8:192:192:u30e3
ufb226	99:0:0:8:8:192:192:u30e4
ufb227	99:0:0:8:8:192:192:u30e5
ufb228	99:0:0:8:8:192:192:u30e6
ufb229	99:0:0:8:8:192:192:u30e7
ufb22a	99:0:0:8:8:192:192:u30e8
ufb22b	99:0:0:8:8:192:192:u30e9
ufb22c	99:0:0:8:8:192:192:u30ea
ufb22d	99:0:0:8:8:192:192:u30eb
ufb22e	99:0:0:8:8:192:192:u30ec
ufb22f	99:0:0:8:8:192:192:u30ed
ufb230	99:0:0:8:8:192:192:u30ee
ufb231	99:0:0:8:8:192:192:u30ef
ufb232	99:0:0:8:8:192:192:u30f0
ufb233	99:0:0:8:8:192:192:u30f1
ufb234	99:0:0:8:8:192:192:u30f2
ufb235	99:0:0:8:8:192:192:u30f3
ufb236	99:0:0:8:8:192:192:u30f4
ufb237	99:0:0:8:8:192:192:u30a1-vert
ufb238	99:0:0:8:8:192:192:u30a3-vert
ufb239	99:0:0:8:8:192:192:u30a5-vert
ufb23a	99:0:0:8:8:192:192:u30a7-vert
ufb23b	99:0:0:8:8:192:192:u30a9-vert
ufb23c	99:0:0:8:8:192:192:u30f5-vert
ufb23d	99:0:0:8:8:192:192:u30f6-vert
ufb23e	99:0:0:8:8:192:192:u30c3-vert
ufb23f	99:0:0:8:8:192:192:u30e3-vert
ufb240	99:0:0:8:8:192:192:u30e5-vert
ufb241	99:0:0:8:8:192:192:u30e7-vert
ufb242	99:0:0:8:8:192:192:u30ee-vert
ufb243	99:0:0:8:8:192:192:u30fc
